"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Tanintharyi","8","dawei","801","dawei","80101","zahar","8010101","0","0","zahar",0,"0","0",2595,2595,NA,"zahar",98.220359,14.130139,3111,3111,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","thapyaychung","8010102","0","0","thapyaychung",0,"0","0",2300,2300,NA,"thapyaychung",98.224511,14.108682,2757,2757,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","thapyaychung","8010102","0","0","pulukone",0,"0","0",343,343,NA,"pulukone",98.219743,14.117503,411,411,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Maungmalchaung","8010103","0","0","Maungmalchaung",0,"0","0",3896,3896,NA,"Maungmalchaung",98.206526,14.158578,4671,4671,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Maungmalchaung","8010103","0","0","Ye-I",0,"0","0",3896,3896,NA,"Ye-I",98.216648,14.164995,4671,4671,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Maungmalchaung","8010103","0","0","pakkaukinn",0,"0","0",141,141,NA,"pakkaukinn",98.271453,14.209287,169,169,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Maungmalchaung","8010103","0","0","khaungtaingpyin",0,"0","0",128,128,NA,"khaungtaingpyin",98.261873,14.17976,153,153,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Maungmalchaung","8010103","0","0","Padiechaung",0,"0","0",169,169,NA,"Padiechaung",98.253433,14.168446,203,203,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Maungmalchaung","8010103","0","0","kinkone",0,"0","0",123,123,NA,"kinkone",98.268937,14.175569,147,147,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Zalun","8010104","0","0","Zalun",0,"0","0",1724,1724,NA,"Zalun",98.23362,14.083088,2067,2067,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Talinetaung","8010105","0","0","Talinetaung",0,"0","0",1410,1410,NA,"Talinetaung",98.242539,14.079915,1690,1690,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Talinetaung","8010105","0","0","Kathan",0,"0","0",450,450,NA,"Kathan",98.245113,14.07794,539,539,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Thabyuar","8010106","0","0","Thabyuar",0,"0","0",750,750,NA,"Thabyuar",98.273247,14.087517,899,899,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Thabyuar","8010106","0","0","Taungpoo",0,"0","0",790,790,NA,"Taungpoo",98.267919,14.085901,947,947,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Thabyuar","8010106","0","0","Meichung",0,"0","0",530,530,NA,"Meichung",98.301739,14.094401,635,635,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Pakeryi","8010107","0","0","Pakeryi",0,"0","0",1400,1400,NA,"Pakeryi",98.307995,14.105912,1678,1678,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Pakeryi","8010107","0","0","Pakhet",0,"0","0",160,160,NA,"Pakhet",98.327789,14.122558,192,192,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Pakeryi","8010107","0","0","Ramazu",0,"0","0",200,200,NA,"Ramazu",98.328045,14.143501,240,240,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Pakeryi","8010107","0","0","Thingantone",0,"0","0",135,135,NA,"Thingantone",98.352512,14.247755,162,162,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Pakeryi","8010107","0","0","Yaiwai",0,"0","0",75,75,NA,"Yaiwai",98.282532,14.172054,90,90,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Pakeryi","8010107","0","0","Sanchi",0,"0","0",1000,1000,NA,"Sanchi",98.307306,14.101972,1199,1199,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Angyarphyar","8010108","0","0","Uyingyi",0,"0","0",500,500,NA,"Uyingyi",98.319872,14.092829,599,599,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Angyarphyar","8010108","0","0","Darthwe",0,"0","0",60,60,NA,"Darthwe",98.331774,14.079293,72,72,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Harmyingyi","8010109","0","0","Harmyingyi",0,"0","0",520,520,NA,"Harmyingyi",98.348221,14.248828,623,623,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Harmyingyi","8010109","0","0","Shwe-I",0,"0","0",380,380,NA,"Shwe-I",98.308175,14.192282,456,456,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Harmyingyi","8010109","0","0","Myinmattat",0,"0","0",270,270,NA,"Myinmattat",98.315479,14.210109,324,324,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Harmyingyi","8010109","0","0","Kyattaw-I",0,"0","0",60,60,NA,"Kyattaw-I",98.324112,14.215064,72,72,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Harmyingyi","8010109","0","0","Panengeichaung",0,"0","0",65,65,NA,"Panengeichaung",98.30797,14.205767,78,78,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Harmyingyi","8010109","0","0","Darpyuakchaug",0,"0","0",40,40,NA,"Darpyuakchaug",98.331314,14.227987,48,48,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Harmyingyi","8010109","0","0","Myekhanni",0,"0","0",430,430,NA,"Myekhanni",98.348397,14.245608,515,515,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Wakone","8010110","0","0","Wakone",0,"0","0",140,140,NA,"Wakone",98.389161,14.18446,168,168,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Wakone","8010110","0","0","Bawabin",0,"0","0",120,120,NA,"Bawabin",98.419333,14.145916,144,144,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Wakone","8010110","0","0","Wakonechaungphuyar",0,"0","0",130,130,NA,"Wakonechaungphuyar",98.39745,14.15893,156,156,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Wakone","8010110","0","0","21-mile",0,"0","0",100,100,NA,"21-mile",98.386674,14.182554,120,120,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Taungthonelone","8010111","0","0","Taungthonelone",0,"0","0",500,500,NA,"Taungthonelone",98.646701,13.990248,599,599,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Taungthonelone","8010111","0","0","Shwechaung",0,"0","0",75,75,NA,"Shwechaung",98.490287,14.163075,90,90,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Taungthonelone","8010111","0","0","Handuchaung",0,"0","0",65,65,NA,"Handuchaung",98.483324,14.139451,78,78,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Kyaukmyetaung","8010112","0","0","Kyaukmyetaung",0,"0","0",365,365,NA,"Kyaukmyetaung",98.442874,14.164981,438,438,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Kyaukmyetaung","8010112","0","0","Myinnthartaw",0,"0","0",130,130,NA,"Myinnthartaw",98.439475,14.202945,156,156,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Myaekhanbaw","8010113","0","0","Myaekhanbaw",0,"0","0",450,450,NA,"Myaekhanbaw",98.41867,14.286498,539,539,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Myaekhanbaw","8010113","0","0","Gaungsechaung",0,"0","0",63,63,NA,"Gaungsechaung",98.489044,14.238671,76,76,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Myaekhanbaw","8010113","0","0","Satepyune",0,"0","0",150,150,NA,"Satepyune",98.444531,14.327944,180,180,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Myaekhanbaw","8010113","0","0","Ngaungtone",0,"0","0",110,110,NA,"Ngaungtone",98.458954,14.263289,132,132,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Myaekhanbaw","8010113","0","0","Thapyuchaung",0,"0","0",65,65,NA,"Thapyuchaung",98.439807,14.242318,78,78,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Handerpyin","8010114","0","0","Handerpyin",0,"0","0",200,200,NA,"Handerpyin",98.443785,14.119018,240,240,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Handerpyin","8010114","0","0","Hander",0,"0","0",95,95,NA,"Hander",98.499405,14.117278,114,114,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Handerpyin","8010114","0","0","Wazwanchanug",0,"0","0",115,115,NA,"Wazwanchanug",98.47346,14.051546,138,138,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Handerpyin","8010114","0","0","Foutlatto",0,"0","0",95,95,NA,"Foutlatto",98.496587,14.069864,114,114,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Handerpyin","8010114","0","0","Kyautpaungchaung",0,"0","0",45,45,NA,"Kyautpaungchaung",98.498907,14.081055,54,54,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Handerpyin","8010114","0","0","Maungpyo",0,"0","0",45,45,NA,"Maungpyo",98.433424,14.146206,54,54,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Phaungtawgyi","8010115","0","0","Phaungtawgyi",0,"0","0",975,975,NA,"Phaungtawgyi",98.527588,14.007199,1169,1169,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Phaungtawgyi","8010115","0","0","Kyauktwin",0,"0","0",45,45,NA,"Kyauktwin",98.542922,14.084204,54,54,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Phaungtawgyi","8010115","0","0","Phaungtawmeset",0,"0","0",50,50,NA,"Phaungtawmeset",98.544373,14.011166,60,60,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Phaungtawgyi","8010115","0","0","Pyuartharchaung",0,"0","0",750,750,NA,"Pyuartharchaung",98.569364,13.966169,899,899,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Myaittar","8010116","0","0","Myaittar",0,"0","0",1240,1240,NA,"Myaittar",98.522978,14.160748,1487,1487,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Kyaukyet","8010117","0","0","Kyaukyet",0,"0","0",751,751,NA,"Kyaukyet",98.228519,14.067336,900,900,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Kyaukyet","8010117","0","0","Pauktine",0,"0","0",670,670,NA,"Pauktine",98.236642,14.069491,803,803,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Kyuakyet","8010118","0","0","Wamaw",0,"0","0",353,353,NA,"Wamaw",98.236642,14.066259,423,423,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Shutmatwinn","8010119","0","0","Shutmatwinn",0,"0","0",449,449,NA,"Shutmatwinn",98.256785,14.044873,538,538,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Shutmatwinn","8010119","0","0","Palyawchang",0,"0","0",201,201,NA,"Palyawchang",98.251728,14.063192,241,241,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Shutmatwinn","8010119","0","0","Tawngartan",0,"0","0",198,198,NA,"Tawngartan",98.247004,14.059296,237,237,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Kutuo","8010120","0","0","Kuto",0,"0","0",1004,1004,NA,"Kuto",98.226281,14.048935,1204,1204,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Kutuo","8010120","0","0","Shwettaung",0,"0","0",267,267,NA,"Shwettaung",98.225949,14.058964,320,320,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Kutuo","8010120","0","0","zungngyinpyin",0,"0","0",88,88,NA,"zungngyinpyin",98.227773,14.053079,105,105,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Kaninedar","8010121","0","0","Kaninedar",0,"0","0",1080,1080,NA,"Kaninedar",98.22653,14.030616,1295,1295,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Kaninedar","8010121","0","0","Kadinwa",0,"0","0",712,712,NA,"Kadinwa",98.23515,14.025725,854,854,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Kaninedar","8010121","0","0","Alalkone",0,"0","0",599,599,NA,"Alalkone",98.224872,14.039651,718,718,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Shinmotte","8010122","0","0","Shinmotte",0,"0","0",1738,1738,NA,"Shinmotte",98.227193,14.009645,2084,2084,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Shinmotte","8010122","0","0","Sawwa",0,"0","0",1442,1442,NA,"Sawwa",98.226613,14.002019,1729,1729,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Shinmotte","8010122","0","0","Shwegutaung",0,"0","0",206,206,NA,"Shwegutaung",98.224872,14.058799,247,247,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","dawei","801","dawei","80101","Yaungmaw","8010123","0","0","Yaungmaw",0,"0","0",1868,1868,NA,"Yaungmaw",98.244683,14.007904,2239,2239,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Pyintein","8010201","0","0","Pyinhtein",0,"0","0",1322,1322,NA,"Pyinhtein",98.13775,13.975711,1585,1585,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Weidi","8010202","0","0","Wedi",0,"0","0",3169,3169,NA,"Wedi",98.173148,13.979752,3799,3799,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Weidi","8010202","0","0","Wedi_kan",0,"0","0",781,781,NA,"Wedi_kan",98.18519,13.983147,936,936,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Weidi","8010202","0","0","Dayekwin",0,"0","0",501,501,NA,"Dayekwin",98.17921,13.987915,601,601,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Kanyonkyun","8010203","0","0","Kanyonkyun",0,"0","0",2066,2066,NA,"Kanyonkyun",98.214608,13.894489,2477,2477,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Thabyuar","8010204","0","0","Thapya",0,"0","0",1299,1299,NA,"Thapya",98.129345,14.004079,1557,1557,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Thabyuar","8010204","0","0","Memaw",0,"0","0",659,659,NA,"Memaw",98.147549,13.996805,790,790,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Thabyuar","8010204","0","0","Pyinsathimaw",0,"0","0",1920,1920,NA,"Pyinsathimaw",98.133648,14.007473,2302,2302,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Inzauk","8010205","0","0","Inzauk",0,"0","0",2707,2707,NA,"Inzauk",98.155308,14.018383,3245,3245,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Inzauk","8010205","0","0","Yapyaw",0,"0","0",998,998,NA,"Yapyaw",98.159277,14.004842,1196,1196,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Inzauk","8010205","0","0","Konzayat",0,"0","0",782,782,NA,"Konzayat",98.163889,13.999308,937,937,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Inzauk","8010205","0","0","Makyunmaw",0,"0","0",1410,1410,NA,"Makyunmaw",98.154942,14.00927,1690,1690,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Inzauk","8010205","0","0","Nyinwa",0,"0","0",186,186,NA,"Nyinwa",98.155772,14.008809,223,223,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","pindale","8010206","0","0","Pandale",0,"0","0",2055,2055,NA,"Pandale",98.162413,14.024028,2464,2464,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","pindale","8010206","0","0","Kyenotbyin",0,"0","0",595,595,NA,"Kyenotbyin",98.162597,14.0303,713,713,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","pindale","8010206","0","0","Myaungbauk",0,"0","0",160,160,NA,"Myaungbauk",98.174865,14.025596,192,192,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Yahaungwa","8010207","0","0","Ywahaungwa",0,"0","0",1339,1339,NA,"Ywahaungwa",98.162498,14.040187,1605,1605,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","minyat","8010208","0","0","Minyat",0,"0","0",1648,1648,NA,"Minyat",98.153558,14.052898,1976,1976,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Minyat","8010208","0","0","Talaingmaw",0,"0","0",1803,1803,NA,"Talaingmaw",98.160199,14.045981,2161,2161,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Minyat","8010208","0","0","Hteinle",0,"0","0",1279,1279,NA,"Hteinle",98.154757,14.049024,1533,1533,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Letthunkha","8010209","0","0","Lethunkhan",0,"0","0",1209,1209,NA,"Lethunkhan",98.147378,13.932804,1449,1449,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Sitpye'","8010210","0","0","Sitpye",0,"0","0",2978,2978,NA,"Sitpye",98.143504,13.945902,3570,3570,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Sitpye'","8010210","0","0","Peinshaung",0,"0","0",714,714,NA,"Peinshaung",98.138154,13.952728,856,856,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Nyinmaw

","8010211","0","0","Nyinmaw",0,"0","0",1608,1608,NA,"Nyinmaw",98.145408,13.939882,1928,1928,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Ngyinmaw","8010211","0","0","Inbu",0,"0","0",370,370,NA,"Inbu",98.130222,13.932897,444,444,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Ngyinmaw","8010211","0","0","Yinbok",0,"0","0",400,400,NA,"Yinbok",98.131698,13.925149,480,480,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","TIzit","8010212","0","0","Tizit",0,"0","0",2401,2401,NA,"Tizit",98.097662,13.907808,2878,2878,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Sanhlan","8010213","0","0","Sanhlan",0,"0","0",733,733,NA,"Sanhlan",98.088661,13.941574,879,879,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Sanhlan","8010213","0","0","Pinlekan",0,"0","0",547,547,NA,"Pinlekan",98.081797,13.933358,656,656,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Pangyit","8010214","0","0","Panyint",0,"0","0",436,436,NA,"Panyint",98.104118,13.99156,523,523,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Panghit","8010214","0","0","Shanmaw",0,"0","0",187,187,NA,"Shanmaw",98.066485,13.979569,224,224,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Ayukyephyu","8010215","0","0","Aukyebyu",0,"0","0",3701,3701,NA,"Aukyebyu",98.147655,13.898215,4437,4437,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Aukyephyu","8010215","0","0","Gawin",0,"0","0",2925,2925,NA,"Gawin",98.147563,13.910667,3507,3507,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Aukyephyu","8010215","0","0","Peinnedaw",0,"0","0",594,594,NA,"Peinnedaw",98.1388,13.902458,712,712,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Aukyephyu","8010215","0","0","Kadetngehtein",0,"0","0",1850,1850,NA,"Kadetngehtein",98.141106,13.887331,2218,2218,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Aukyephyu","8010215","0","0","Hteingyi",0,"0","0",773,773,NA,"Hteingyi",98.141936,13.899875,927,927,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Aukyephyu","8010215","0","0","Kyaukphyu",0,"0","0",511,511,NA,"Kyaukphyu",98.150883,13.891758,613,613,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Kataungni","8010216","0","0","Kadaungni",0,"0","0",733,733,NA,"Kadaungni",98.173943,13.92893,879,879,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
"Tanintharyi","8","Dawei","801","Longlon","80102","Pyinchaung

","8010217","0","0","Pyinchaung",0,"0","0",486,486,NA,"Pyinchaung",98.1646,13.867628,583,583,0.0168,0.0122,5.56,6.09,1.14,20,"DRD","Tanintharyi Region"
